anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.000015,0.008352,0.000066,0.000016,0.000996,0.002641,1,affectiva,disgust_F,disgust,F
0.000023,0.010507,0.00006,0.000016,0.000685,0.002373,2,affectiva,disgust_F,disgust,F
0.000018,0.012503,0.000063,0.000017,0.000849,0.002547,3,affectiva,disgust_F,disgust,F
0.000018,0.012542,0.000063,0.000017,0.000847,0.002584,4,affectiva,disgust_F,disgust,F
0.000013,0.01398,0.000068,0.000017,0.001164,0.002826,5,affectiva,disgust_F,disgust,F
0.000012,0.013973,0.000076,0.000016,0.001729,0.003039,6,affectiva,disgust_F,disgust,F
0.00001,0.01595,0.000084,0.000016,0.002572,0.003319,7,affectiva,disgust_F,disgust,F
0.000009,0.016541,0.00009,0.000016,0.003289,0.003606,8,affectiva,disgust_F,disgust,F
0.000008,0.01777,0.000093,0.000016,0.003837,0.003745,9,affectiva,disgust_F,disgust,F
0.000007,0.018167,0.000094,0.000016,0.004008,0.003885,10,affectiva,disgust_F,disgust,F
0.000007,0.019103,0.000097,0.000016,0.004637,0.004031,11,affectiva,disgust_F,disgust,F
0.000007,0.021659,0.000095,0.000016,0.004119,0.003882,12,affectiva,disgust_F,disgust,F
0.000008,0.022764,0.000093,0.000016,0.003725,0.003673,13,affectiva,disgust_F,disgust,F
0.000008,0.025822,0.000098,0.000015,0.004645,0.003787,14,affectiva,disgust_F,disgust,F
0.000006,0.024824,0.000111,0.000015,0.007265,0.004187,15,affectiva,disgust_F,disgust,F
0.000006,0.026284,0.000115,0.000015,0.008341,0.004355,16,affectiva,disgust_F,disgust,F
0.000005,0.022311,0.00012,0.000015,0.009734,0.004508,17,affectiva,disgust_F,disgust,F
0.000006,0.020695,0.000119,0.000015,0.009653,0.004445,18,affectiva,disgust_F,disgust,F
0.000006,0.019707,0.000118,0.000015,0.009341,0.004537,19,affectiva,disgust_F,disgust,F
0.000006,0.020717,0.000115,0.000015,0.008586,0.004397,20,affectiva,disgust_F,disgust,F
0.000006,0.021658,0.000113,0.000015,0.007815,0.004253,21,affectiva,disgust_F,disgust,F
0.000006,0.022695,0.000114,0.000015,0.008007,0.004227,22,affectiva,disgust_F,disgust,F
0.000007,0.026484,0.000115,0.000014,0.008283,0.004163,23,affectiva,disgust_F,disgust,F
0.000007,0.034625,0.000112,0.000014,0.007472,0.004041,24,affectiva,disgust_F,disgust,F
0.000007,0.042923,0.000118,0.000014,0.00898,0.004243,25,affectiva,disgust_F,disgust,F
0.000006,0.041539,0.000122,0.000015,0.010519,0.004616,26,affectiva,disgust_F,disgust,F
0.000005,0.037137,0.000121,0.000015,0.010434,0.004719,27,affectiva,disgust_F,disgust,F
0.000005,0.043285,0.000125,0.000015,0.012,0.004857,28,affectiva,disgust_F,disgust,F
0.000005,0.052417,0.000128,0.000014,0.012825,0.004827,29,affectiva,disgust_F,disgust,F
0.000006,0.056116,0.000133,0.000014,0.014068,0.004624,30,affectiva,disgust_F,disgust,F
0.000006,0.066021,0.000136,0.000013,0.014935,0.004413,31,affectiva,disgust_F,disgust,F
0.000006,0.075825,0.000132,0.000013,0.013019,0.004097,32,affectiva,disgust_F,disgust,F
0.000007,0.132232,0.000126,0.000013,0.010905,0.003914,33,affectiva,disgust_F,disgust,F
0.000007,0.178463,0.000135,0.000012,0.013367,0.003803,34,affectiva,disgust_F,disgust,F
0.000008,0.232536,0.000138,0.000011,0.013825,0.00357,35,affectiva,disgust_F,disgust,F
0.000009,0.376944,0.000145,0.00001,0.015335,0.003176,36,affectiva,disgust_F,disgust,F
0.000011,0.511804,0.00015,0.000009,0.015947,0.002825,37,affectiva,disgust_F,disgust,F
0.000014,0.688284,0.000162,0.000007,0.018233,0.002362,38,affectiva,disgust_F,disgust,F
0.000019,0.760348,0.000174,0.000006,0.020725,0.001961,39,affectiva,disgust_F,disgust,F
0.000025,0.849942,0.000192,0.000005,0.025925,0.001638,40,affectiva,disgust_F,disgust,F
0.00003,0.907943,0.000162,0.000006,0.014154,0.00149,41,affectiva,disgust_F,disgust,F
0.000041,0.938356,0.000144,0.000005,0.00868,0.001234,42,affectiva,disgust_F,disgust,F
0.000048,0.953617,0.000126,0.000006,0.005341,0.001166,43,affectiva,disgust_F,disgust,F
0.000045,0.956568,0.000119,0.000007,0.004841,0.001359,44,affectiva,disgust_F,disgust,F
0.000042,0.961692,0.000113,0.000007,0.004401,0.001524,45,affectiva,disgust_F,disgust,F
0.000045,0.963886,0.000114,0.000007,0.004614,0.001564,46,affectiva,disgust_F,disgust,F
0.000036,0.964597,0.0001,0.000009,0.003149,0.001719,47,affectiva,disgust_F,disgust,F
0.000035,0.961362,0.000096,0.00001,0.002807,0.001817,48,affectiva,disgust_F,disgust,F
0.000034,0.951871,0.000093,0.00001,0.002639,0.001951,49,affectiva,disgust_F,disgust,F
0.000034,0.914828,0.000088,0.000011,0.002329,0.002128,50,affectiva,disgust_F,disgust,F
