StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.3,Q3.1,Q4.1_1,Q4.2_1,Q5.1_1,Q5.2_1,Q6.1_1,Q6.2_1,Q7.1_1,Q7.2_1,Q8.1_1,Q8.2_1,Q9.1_1,Q9.2_1,Q10.1_1,Q10.2_1,Q11.1_1,Q11.2_1,Q12.1_1,Q12.2_1,Q13.1_1,Q13.2_1,Q14.1_1,Q14.2_1,Q15.1_1,Q15.2_1,Q16.1_1,Q16.2_1,Q17.1_1,Q17.2_1,Q18.1_1,Q18.2_1,Q19.1_1,Q19.2_1,Q20.1_1,Q20.2_1,Q21.1_1,Q21.2_1,Q22.1_1,Q22.2_1,Q23.1_1,Q23.2_1,Q24.1_1,Q24.2_1,Q25.1_1,Q25.2_1,Q26.1_1,Q26.2_1,Q27.1_1,Q27.2_1,Q28.1_1,Q28.2_1,Q29.1_1,Q29.2_1,Q30.1_1,Q30.2_1,Q31.2_1,Q31.2_2,Q31.2_3,Q31.2_4,Q31.2_5,Q31.2_6,Q31.2_7,Q31.2_8,Q31.2_9,Q31.2_10,Q31.2_11,Q31.2_12,Q31.2_13,Q31.2_14,Q31.2_15,Q31.2_16,Q31.2_17,Q31.2_18,Q31.2_19,Q31.2_20,Q31.2_21,Q31.2_22,Q31.2_23,Q31.2_24,Q31.2_25,Q31.2_26,Q31.2_27,Q31.2_28,Q31.2_29,Q31.2_30,Q31.2_31,Q31.2_32,Q31.2_33,Q31.2_34,Q31.2_35,Q31.2_36,Q31.2_37,Q31.2_38,Q31.2_39,Q31.2_40,Q31.2_41,Q31.2_42,Q31.2_43,Q31.2_44,Q31.2_45
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What is your gender?,Participant Consent,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,Valence,Genuineness,"Please answer every question, do not omit any. - 1. When they laugh in my presence I get suspicious","Please answer every question, do not omit any. - 2. When I am with other people, I enjoy making jokes at my own expense to make the others laugh","Please answer every question, do not omit any. - 3. I enjoy exposing others and I am happy when they get laughed at","Please answer every question, do not omit any. - 4. I avoid displaying myself in public because I fear that people could become aware of my insecurity and could make fun of me.","Please answer every question, do not omit any. - 5. I do not hesitate telling friends or acquaintances something embarrassing or a misfortune that happened to me, even at the risk of being laughed at.","Please answer every question, do not omit any. - 6. Often, disputes emerged because of funny remarks or jokes that I make about other people","Please answer every question, do not omit any. - 7.  When strangers laugh in my presence I often relate it to me personally.","Please answer every question, do not omit any. - 8.  There is no difference for me whether people laugh at me or laugh with me.","Please answer every question, do not omit any. - 9.  related to making jokes or funny remarks about other people I rather follow the motto “An eye for an eye, a tooth for a tooth” than “If someone strikes you on the right cheek, offer him the other also”.","Please answer every question, do not omit any. - 10. When others make joking remarks about me I feel being paralyzed.","Please answer every question, do not omit any. - 11. I enjoy it if other people laugh at me.","Please answer every question, do not omit any. - 12. It has happened that humorless persons have broken off their friendship with me or at least threatened me to do so, because I overdid ridiculing them over of something embarrassing or a misfortune that happened to them.","Please answer every question, do not omit any. - 13. I believe that I make involuntarily a funny impression on others.","Please answer every question, do not omit any. - 14. I am the joker in my circle of friends, who entertains the others (often with jokes at my own expense).","Please answer every question, do not omit any. - 15. If other people poke fun at me than I pay them back in the same way – but more so.","Please answer every question, do not omit any. - 16. I control myself strongly in order not to attract negative attention so I do not make a ridiculous impression.","Please answer every question, do not omit any. - 17. I enjoy it if other people poke fun at me since this might also be a sign of recognition.","Please answer every question, do not omit any. - 18. If it is for entertaining other people it is justified to make jokes or funny remarks that might be painful or mean about other people.","Please answer every question, do not omit any. - 19. When I have made an embarrassing impression somewhere, I avoid the place thereafter.","Please answer every question, do not omit any. - 20. If someone caught me on a camera while something embarrassing or a misfortune happen to me, I would not mind, if s/he send the tape to a television show that broadcast such videos.","Please answer every question, do not omit any. - 21. Some people set themselves up for one to make fun at them.","Please answer every question, do not omit any. - 22. If someone has teased me in the past I cannot deal freely with him forever.","Please answer every question, do not omit any. - 23. I have talent for being a comedian, cabaret artist or clown.","Please answer every question, do not omit any. - 24. Since it is only fun, I do not see any problems in compromising others in a funny way.","Please answer every question, do not omit any. - 25. It takes me very long to recover from having been laughed at.","Please answer every question, do not omit any. - 26. For raising laughs I pleasurably make the most out of embarrassments or misfortunes that happen to me which other people would be ashamed of.","Please answer every question, do not omit any. - 27. Laughing at others is part of life. People who do not like to be laughed at just should fight back.","Please answer every question, do not omit any. - 28. Especially when I feel relatively unconcerned, the risk is high for me to attract negative attention and appear peculiar to others.","Please answer every question, do not omit any. - 29. I enjoy contributing to the open laughter of others by telling them embarrassing things or misfortunes that happened to me.","Please answer every question, do not omit any. - 30. If I am with a group of people and I am the only one that notices that someone has done something embarrassing or that something embarrassing happened to him/her, than I do not hesitate to tell the others about it.","Please answer every question, do not omit any. - 31. It is difficult for me to hold eye contact because I fear being assessed in a disparaging way.","Please answer every question, do not omit any. - 32. When I am with other people and something embarrassing happens to me (e.g., a slip of the tongue or a misfortune) I am more pleased than angry and laugh along with it.","Please answer every question, do not omit any. - 33. I do not have a bad conscience when I laugh at the misfortunes (e.g., slips of the tongue) of others.","Please answer every question, do not omit any. - 34. Although I frequently feel lonely, I have the tendency not to share social activities in order to protect myself from derision.","Please answer every question, do not omit any. - 35. If I drop a clanger, I enjoy it a little because I can hardly wait to tell my friends about this misfortune.","Please answer every question, do not omit any. - 36. Nothing is better than stealing a pretenders thunder with a funny remark.","Please answer every question, do not omit any. - 37. When I have made a fool of myself in front of others I grow completely stiff and lose my ability to behave adequately.","Please answer every question, do not omit any. - 38. I do not mind telling something embarrassing in a group that happened to me if I know that the others will find it funny.","Please answer every question, do not omit any. - 39. It is easier for me to laugh at others than to make fun of myself.","Please answer every question, do not omit any. - 40. While dancing I feel uneasy because I am convinced that those watching me assess me as being ridiculous.","Please answer every question, do not omit any. - 41. Nothing much could happen to me that I would be so ashamed that I would not tell it others.","Please answer every question, do not omit any. - 42. In my circle of friends I am known for my “sharp tongue” (e.g., making cynical remarks and jokes about others).","Please answer every question, do not omit any. - 43. If I did not fear making a fool of myself I would speak much more in public.","Please answer every question, do not omit any. - 44. My friends know me for not being ashamed of telling them of embarrassing situations that happened to me.","Please answer every question, do not omit any. - 45. I, myself notice that I sometimes cross the line and jokes that others experience as painful started harmless (at least from the viewpoint of demure people)."
25/01/2019 11:00,25/01/2019 11:11,IP Address,86.14.172.186,100,650,TRUE,25/01/2019 11:11,R_25ycwu59EDUwXh9,,,,,54.54499817,-6.256103516,anonymous,EN,22,Female,"Yes, I consent",,,30,10,,,,,40,40,,,,,,,20,5,91,80,,,,,,,,,91,61,80,50,,,,,,,,,71,51,50,50,,,,,,,,,81,55,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree
25/01/2019 13:48,25/01/2019 14:02,IP Address,188.29.164.90,100,850,TRUE,25/01/2019 14:02,R_33EA25gAE8lXWMy,,,,,51.50849915,-0.125701904,anonymous,EN,24,Male,"Yes, I consent",,,78,52,,,,,,,12,34,,,,,8,11,,,,,21,10,,,31,47,,,,,89,90,,,,,31,3,,,,,,,50,68,69,69,,,,,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree
25/01/2019 14:17,25/01/2019 14:34,IP Address,51.9.33.205,100,1030,TRUE,25/01/2019 14:34,R_2QGVwmxZM7Gy3NW,,,,,54.2631073,-5.609802246,anonymous,EN,21,female,"Yes, I consent",,,,,66,48,49,19,,,,,,,,,20,43,91,61,,,,,63,41,,,,,,,,,51,32,80,84,,,,,100,100,,,,,,,,,79,50,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree
25/01/2019 15:01,25/01/2019 15:17,IP Address,31.51.55.191,100,933,TRUE,25/01/2019 15:17,R_3GxIu8Q0e5E7gEH,,,,,54.65339661,-5.668899536,anonymous,EN,21,Female ,"Yes, I consent",28,13,,,,,55,17,,,,,92,81,,,,,,,61,51,,,77,46,,,,,67,63,,,,,,,90,95,,,73,87,,,,,,,92,88,,,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree
25/01/2019 17:33,25/01/2019 17:44,IP Address,62.64.167.233,100,672,TRUE,25/01/2019 17:44,R_2YqXtU9Algf9C19,,,,,54.58329773,-5.933303833,anonymous,EN,20,Female,"Yes, I consent",,,,,30,20,,,71,40,,,,,50,41,,,,,50,70,,,,,50,70,,,,,,,60,50,,,61,100,,,,,70,90,,,82,100,,,,,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree
26/01/2019 01:30,26/01/2019 02:01,IP Address,109.156.170.212,100,1858,TRUE,26/01/2019 02:01,R_dgyjGdEuR0bMffj,,,,,51.55000305,-0.483306885,anonymous,EN,21,female ,"Yes, I consent",50,59,,,,,,,,,,6,35,15,,,,,38,72,,,,,,,,,15,0,,,45,19,,,,,,,28,0,,,,,65,35,,,17,,,,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Moderately Agree,,Strongly Disagree,,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,,Strongly Disagree,,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Disagree,,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree
26/01/2019 03:49,26/01/2019 03:56,IP Address,94.9.53.3,100,425,TRUE,26/01/2019 03:56,R_7TyaB0g62jhTXJn,,,,,54.57859802,-5.999694824,anonymous,EN,19,Female,"Yes, I consent",,,61,20,,,71,70,,,,,,,50,30,,,,,,,61,69,,,,,51,27,,,,,30,12,84,84,,,,,80,50,,,,,91,91,,,,,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree
26/01/2019 03:50,26/01/2019 04:04,IP Address,92.14.245.72,100,838,TRUE,26/01/2019 04:04,R_2VBX1mK5xUKWlbz,,,,,55.23649597,-6.360702515,anonymous,EN,19,Female,"Yes, I consent",91,100,,,,,,,90,95,,,,,,,65,80,,,50,20,,,100,80,,,,,,,90,100,,,100,100,,,,,75,100,,,,,,,85,85,,,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Disagree
26/01/2019 03:53,26/01/2019 04:04,IP Address,82.132.240.114,100,667,TRUE,26/01/2019 04:04,R_2fJNb5gqjYM8v5K,,,,,51.49639893,-0.122406006,anonymous,EN,22,Female,"Yes, I consent",,,,,8,11,,,,,59,63,,,,,21,13,71,70,,,,,,,45,36,,,35,32,,,,,,,61,65,,,,,75,73,,,,,,,55,52,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree
