anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0,0,0,0,0,0,1,crowdemotion_CNN,boredom_M,boredom,M
0,0,0,0,0,0,2,crowdemotion_CNN,boredom_M,boredom,M
0.103899,0.0207363,0.000843863,0.00998802,0.0847782,0.010954,3,crowdemotion_CNN,boredom_M,boredom,M
0.120055,0.0293221,0.000937154,0.0181974,0.0884857,0.00872709,4,crowdemotion_CNN,boredom_M,boredom,M
0.0898582,0.022771,0.000953373,0.0127279,0.0915574,0.00826095,5,crowdemotion_CNN,boredom_M,boredom,M
0.0744269,0.0221451,0.00110093,0.0157594,0.0920504,0.00944623,6,crowdemotion_CNN,boredom_M,boredom,M
0.108497,0.0357635,0.00127234,0.0238459,0.0824879,0.0120748,7,crowdemotion_CNN,boredom_M,boredom,M
0.113795,0.0306019,0.00086094,0.0205234,0.0740788,0.00882893,8,crowdemotion_CNN,boredom_M,boredom,M
0.0843871,0.0221273,0.000834604,0.0139283,0.0876401,0.00811151,9,crowdemotion_CNN,boredom_M,boredom,M
0.11649,0.0267403,0.000960216,0.0241317,0.100278,0.00757705,10,crowdemotion_CNN,boredom_M,boredom,M
0.150087,0.0396457,0.00131966,0.0334619,0.0763768,0.00828754,11,crowdemotion_CNN,boredom_M,boredom,M
0.0902257,0.0199295,0.000765368,0.0128911,0.0811592,0.00687818,12,crowdemotion_CNN,boredom_M,boredom,M
0.118008,0.0353849,0.0012452,0.0241779,0.0860494,0.00927896,13,crowdemotion_CNN,boredom_M,boredom,M
0.103877,0.032479,0.00163329,0.03339,0.0870733,0.0114317,14,crowdemotion_CNN,boredom_M,boredom,M
0.143577,0.0357197,0.00120877,0.0165516,0.0955318,0.00886979,15,crowdemotion_CNN,boredom_M,boredom,M
0.119156,0.0368742,0.00140701,0.0253932,0.0787157,0.00987681,16,crowdemotion_CNN,boredom_M,boredom,M
0.118016,0.0314266,0.00115673,0.017097,0.087042,0.0107336,17,crowdemotion_CNN,boredom_M,boredom,M
0.125546,0.0351538,0.00127484,0.0285155,0.0981106,0.00869131,18,crowdemotion_CNN,boredom_M,boredom,M
0.134383,0.0343865,0.000972972,0.0238765,0.0921085,0.0113819,19,crowdemotion_CNN,boredom_M,boredom,M
0.104427,0.0357231,0.00126112,0.0229017,0.094057,0.0133075,20,crowdemotion_CNN,boredom_M,boredom,M
0.105633,0.0292109,0.00119374,0.0231368,0.0859777,0.00937818,21,crowdemotion_CNN,boredom_M,boredom,M
0.112023,0.0312102,0.00124474,0.0265104,0.0822329,0.00882806,22,crowdemotion_CNN,boredom_M,boredom,M
0.125465,0.0349311,0.00136725,0.020783,0.0911681,0.0105679,23,crowdemotion_CNN,boredom_M,boredom,M
0.114194,0.0287121,0.00165137,0.016577,0.110477,0.011304,24,crowdemotion_CNN,boredom_M,boredom,M
0.14554,0.0328872,0.00159415,0.022811,0.103982,0.0104892,25,crowdemotion_CNN,boredom_M,boredom,M
0.113657,0.0318153,0.00191125,0.0203547,0.125574,0.0142423,26,crowdemotion_CNN,boredom_M,boredom,M
0.1299,0.0400262,0.00169851,0.0378845,0.092994,0.012543,27,crowdemotion_CNN,boredom_M,boredom,M
0.133811,0.0407755,0.00164899,0.0311469,0.0954989,0.0161355,28,crowdemotion_CNN,boredom_M,boredom,M
0.115768,0.0342281,0.00100622,0.0336117,0.081857,0.0124698,29,crowdemotion_CNN,boredom_M,boredom,M
0.108586,0.0260727,0.00101293,0.0267469,0.070879,0.00890748,30,crowdemotion_CNN,boredom_M,boredom,M
0.125473,0.0377439,0.00118721,0.0205634,0.0789388,0.0118257,31,crowdemotion_CNN,boredom_M,boredom,M
0.0655589,0.0139927,0.000608095,0.0146239,0.119516,0.0108664,32,crowdemotion_CNN,boredom_M,boredom,M
0.0622622,0.0139762,0.000595539,0.0135483,0.114338,0.0120319,33,crowdemotion_CNN,boredom_M,boredom,M
0.0838592,0.0239053,0.000978965,0.0295092,0.0908417,0.00634076,34,crowdemotion_CNN,boredom_M,boredom,M
0.0842204,0.021752,0.00117539,0.024961,0.106675,0.0067768,35,crowdemotion_CNN,boredom_M,boredom,M
0.0780307,0.0246177,0.000820135,0.0295308,0.0869034,0.012063,36,crowdemotion_CNN,boredom_M,boredom,M
0.0806278,0.0182882,0.000502368,0.0143565,0.0841629,0.0280584,37,crowdemotion_CNN,boredom_M,boredom,M
0.134373,0.0518313,0.00116958,0.0390069,0.0885674,0.0361381,38,crowdemotion_CNN,boredom_M,boredom,M
0.08399,0.0337808,0.00138764,0.0208359,0.0924336,0.0195506,39,crowdemotion_CNN,boredom_M,boredom,M
0.102055,0.047371,0.00153862,0.0367522,0.0835841,0.0184517,40,crowdemotion_CNN,boredom_M,boredom,M
0.0973815,0.0485433,0.00178721,0.0404873,0.073002,0.0200627,41,crowdemotion_CNN,boredom_M,boredom,M
0.066238,0.0342008,0.00121459,0.0287233,0.0963027,0.0172504,42,crowdemotion_CNN,boredom_M,boredom,M
0.0998887,0.0496989,0.001202,0.0280544,0.0759062,0.0193886,43,crowdemotion_CNN,boredom_M,boredom,M
0.0802489,0.0378337,0.00117587,0.0233066,0.0820989,0.0139371,44,crowdemotion_CNN,boredom_M,boredom,M
0.061417,0.0248645,0.0010271,0.0167725,0.0796897,0.0104631,45,crowdemotion_CNN,boredom_M,boredom,M
0.0863125,0.0387115,0.00130856,0.0384029,0.0771224,0.0199507,46,crowdemotion_CNN,boredom_M,boredom,M
0.0690391,0.0405827,0.00159234,0.035451,0.0548911,0.0152513,47,crowdemotion_CNN,boredom_M,boredom,M
0.0710611,0.0304604,0.00145603,0.0244376,0.0802139,0.0134399,48,crowdemotion_CNN,boredom_M,boredom,M
0.102224,0.0384727,0.00137144,0.0227218,0.0920057,0.0148599,49,crowdemotion_CNN,boredom_M,boredom,M
0.0533144,0.0202687,0.0010649,0.0208305,0.095312,0.0177353,50,crowdemotion_CNN,boredom_M,boredom,M
0.0879413,0.0292536,0.00128327,0.0241805,0.0947141,0.0221084,51,crowdemotion_CNN,boredom_M,boredom,M
0.0936788,0.0247446,0.00100686,0.0188924,0.111776,0.0156784,52,crowdemotion_CNN,boredom_M,boredom,M
0.0766912,0.0160014,0.000673079,0.0146568,0.0868427,0.0104254,53,crowdemotion_CNN,boredom_M,boredom,M
0.0751399,0.0222764,0.000992007,0.0269896,0.0960295,0.015502,54,crowdemotion_CNN,boredom_M,boredom,M
0.0688832,0.0266627,0.000698937,0.0285903,0.11305,0.0100625,55,crowdemotion_CNN,boredom_M,boredom,M
0.0838447,0.0178824,0.000955456,0.0208053,0.128933,0.00597191,56,crowdemotion_CNN,boredom_M,boredom,M
0.123755,0.0344386,0.0013336,0.040686,0.0762896,0.00817995,57,crowdemotion_CNN,boredom_M,boredom,M
0.068863,0.0125743,0.000392073,0.0108626,0.073069,0.00486784,58,crowdemotion_CNN,boredom_M,boredom,M
0.0580684,0.017853,0.000726446,0.015863,0.105507,0.00815169,59,crowdemotion_CNN,boredom_M,boredom,M
0.0709807,0.0280249,0.00115737,0.0431224,0.0772942,0.00559111,60,crowdemotion_CNN,boredom_M,boredom,M
0.0641572,0.0194746,0.00126423,0.0271621,0.103099,0.00616004,61,crowdemotion_CNN,boredom_M,boredom,M
0.0721543,0.0254847,0.00130477,0.0255313,0.100414,0.00756035,62,crowdemotion_CNN,boredom_M,boredom,M
0.0895451,0.0236756,0.00113992,0.0210794,0.0903127,0.00946582,63,crowdemotion_CNN,boredom_M,boredom,M
0.0811263,0.0124342,0.000537582,0.0173167,0.0773394,0.00732589,64,crowdemotion_CNN,boredom_M,boredom,M
0.106383,0.0203411,0.000806321,0.0207872,0.122003,0.012932,65,crowdemotion_CNN,boredom_M,boredom,M
0.135358,0.0303028,0.00121679,0.0250766,0.123204,0.0120498,66,crowdemotion_CNN,boredom_M,boredom,M
0.0973721,0.0286196,0.00142714,0.0213477,0.0887679,0.00808191,67,crowdemotion_CNN,boredom_M,boredom,M
