title,newsSource
Prime Minister's Questions: David Cameron v Ed Miliband,BBCNews
Car smoke ban 'to start in October',BBCNews
Pakistan school attack: PM Sharif vows to end 'terrorism',BBCNews
As it happened: Pakistan families bury children,BBCNews
Al-Sweady Inquiry: UK army murder claims 'deliberate lies',BBCNews
Preston student sleeps rough to repay homeless man Robbie's kindness,BBCNews
Alan Gross: US worker released from Cuba prison,BBCNews
Rules for babies 'from three people',BBCNews
New York premiere of Sony film The Interview cancelled,BBCNews
Russia plans new measures to stabilise the rouble,BBCNews
Mystery Methane Suggests Life On Mars,SkyNews
Boxer Hurt After Tackling Pair Of Burglars,SkyNews
Exclusive: Death Pact Of IS-Fighting Britons,SkyNews
X Factor's Mel B Had 'Big Row' With Husband,SkyNews
Emergency Landing As Turbulence Hurts 14,SkyNews
Kim Jong-Un Film Premiere Axed Over 9/11 Threat,SkyNews
Prosecutor Decides Not To Charge Bill Cosby,SkyNews
Pakistan Reinstates Death Penalty After Attack,SkyNews
Sydney Siege Victim 'Shielded Pregnant Friend',SkyNews
Festive Cheer On Forecourt As Petrol Prices Fall,SkyNews
Student raises thousands of pounds for homeless man who offered her money,Guardian
Russia's central bank announces measures to calm crisis - business live,Guardian
Labour opens up five-point poll lead over Tories,Guardian
"Chelsea doctor asked three times for stretchers after Zouma injury, says Cech",Guardian
Al-Sweady inquiry: UK troops mistreated Iraqis but did not murder them,Guardian
Pakistan school attack: political rivals agree anti-terrorism plan,Guardian
JK Rowling confirms that there were Jewish wizards in Hogwarts,Guardian
Is the Year 2038 problem the new Y2K bug?,Guardian
The Missing finale: were you satisfied with the ending?,Guardian
Scottish independence: Queen was asked to intervene amid yes vote fears,Guardian
Sport quiz of the year 2014 - live!,Guardian
Wrecking Russia's economy could be a disaster for the west | Angus Roxburgh,Guardian
Pakistan school massacre prompts prime minister to lift death penalty ban,Guardian
Eating on public transport: the dos and don'ts,Guardian
L'Oreal millionaire versus chip stand owner in battle over stinky ski chalet,Guardian
Off the wall: Jeremy Deller brings William Morris back to life,Guardian
Pakistan responds to Peshawar school massacre with strikes on Taliban,Guardian
The Interview New York premiere cancelled in wake of hacker threats,Guardian
Senior Conservatives in spotlight over speeches to 'vile' rightwing fringe group,Guardian
"If you must eat meat, save it for Christmas | George Monbiot",Guardian
The Missing had a truly brilliant whodunnit...but what a chilling final twist! CHRISTOPHER STEVENS reviews last night's TV,DailyMail
Was Pakistan school massacre in revenge for Malala's Nobel Prize? Children forced to watch their teacher being burned alive as Taliban murder 132 children,DailyMail
"Domestic violence, handling stolen goods and beating a mallard to death with a brick: The chequered history of Mel B's husband who has been in and out of trouble with police for over two decades ",DailyMail
Casual in black: Kate swaps high-end fashion for a hoodie - and a blindfold - as she arrives to help Beaver Scouts ice a cake ,DailyMail
Mel B 'walks out on husband Stephen Belafonte following series of blazing rows'... as marriage 'hangs by a thread',DailyMail
