Polarity,Tweet
Positive,going to work - then gym - then rehersal then probably back to the gym  have a goooooooood day         
Positive,Breaking News: @fbish spotted walking PAST a Record Store.  Did not go in  did not purchase vinyl.  World first. (via @fbish) I lolled         
Positive,@MandyPandy @SarahSaner Stavros Flatley for me too  v entertaining  lots of hard work plus that lovely relationship        
Positive,@WaylandSmalley LOL          
Positive,@Zappos_Service thanks! that was a super fast reply. @zappos rock!          
Positive,OMG that was amazing..... I got lucky          
Positive,goodnight          
Positive,Hello people! how are things          
Positive,@julesabell carry a few kilos of water on your head in a pot - I dont think those women have any probs with weak necks          
Positive,Breaktime! Lunch is brown/red rice  fried milkfish and corn on the side.  Gosh  Im famished.       
Positive,Today can be a BIG day... Will know more this afternoon...          
Positive,@aroselavoie @jessicahopes get over it  its changed  were not changing it back  were a totally new band.  done      
Positive,@ericaacenath why its the lovely Joan Murray!!! Book is called QUEEN of the MIST.          
Positive,@RedAntiques yes getting to know that one now lol          
Positive,@prokicker Thats so sweet  Wish you many many many more years         
Positive,@adri_hardcore  yay!         
Positive,i always enjoy watching A.S.A.P. every sundays.          
Positive,@thisisPaige what if I filled up a whole page of your twitter talking about how much I love you? Would that make it better?          
Positive,@davidleibrandt thats because u are!          
Positive,We bought a DS today from Morrisons  only Ã¯Â¿Â_. Emma bought Room  playing it now         
Positive,Just watched working girl  Ah the shoulder pads and big hair! I want to live in the s..         
Positive,http://is.gd/ADA &quot;Meet the spy&quot; - Oh  so very funny         
Positive,Has to come off the mac  bloody storm above us and mums worried. D; going out to play football in the rain instead  muhahah        
Positive,@jizzle lmfao. u are??? yayyyyyy thx          
Positive,I am finally home- Long day of work- I had a great time with my Gramms at dinner went to STK- So Good-A must go in Cali- Hows everyone?          
Positive,@PatsyTravers Thanks!          
Positive,@Wishwrap welcome! heres some great twitter tips ~ http://bit.ly/WXJ http://bit.ly/ctsN http://bit.ly/xLN. happy tweeting!          
Positive,Jus found out sum GREAT news!!! All imma say is I cant wait til the BET awards!!              
Positive,@elizaeliza Yeah  the more tired or overtired I get  the more depressed I get. Get a good nights sleep and feel better.        
Positive,@snarkattack everything comes back to david tennant?          
Positive,@jennifervides glad to hear the birthday weekend in Miami was a blast          
Positive,done enough studying for one night  wat time does rove start i always forget??         
Positive,My Warcraft account was expired for a bit. Didnt miss it much. Second Life has more to do. Maybe I need to get a First Life?            
Positive,@tonybgoode yeah you just havent written it down yet.          
Positive,@KimilovesJB hey  thanks for following! how are you? xx         
Positive,@Courageous_one how did you know?!! OH there was a skipping rope at @johubriss surprise party last night and I jumped rope.  !!!!         
Positive,is anyone playing poker tonight? so far we have . please play its my st game          
Positive, Gossip girl tonight!!!         
Positive,Cool. Ive got my invitation code for downloading the new Twitter client Mixero. Will do that when Im home again  #svpt         
Positive,@andreybutov from your teenage actor days          
Positive,Hi George! Thanks  your help @ the social media workshop Fri. Im glad u didnt wear crocs  it. That would have been  expected  Cheers!         
Positive,@Bambi two weeks later found out I had conceived and gremlin due during month of citrine  Have naughty gemini..and your girls?         
Positive,Someone somewhere liked Green Terror http://www.smartestgames.com/gotd.php          
Positive,Met a guy whose wife is one of   candidates applying for one translator job at the Ministry of Justice in Lebanon. Yikes         
Positive,@KhloeKardashian oh i will  btw the ep where u pose naked me and all the women talked bout it for an houra after how ur so beautiful and         
Positive,P.S. Last night was superrr fun          
Positive,Curry &amp; rice guhhhhh          
Positive,@basantam happy Friday!! Enjoy your extra day off... any special plans?          
Positive, i love twitter         
Positive,One day to go  it ends here ...         
Positive,@kaseyRSM could you do chargrilled stuffed squid??          
Positive,th Friends episode today! Yay          
