UniqueID,DayNumber,title,rank,newsSource,URLs,Date,Filename,Seg,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,Iself,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,Polarity
1,1,Prime Minister's Questions: David Cameron v Ed Miliband,1,BBCNews,http://www.bbc.co.uk/news/live/uk-politics-30512858,17/12/2014,headlineaaa.txt,1,8,8,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,12.5,0,0,37.5,0
2,2,Car smoke ban 'to start in October',2,BBCNews,http://www.bbc.co.uk/news/health-30513439,17/12/2014,headlineaab.txt,1,7,7,14.29,100,0,28.57,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,14.29,57.14,14.29,14.29,28.57,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,28.57,0,0,42.86,0
3,3,Pakistan school attack: PM Sharif vows to end 'terrorism',3,BBCNews,http://www.bbc.co.uk/news/world-asia-30517904,17/12/2014,headlineaac.txt,1,9,9,22.22,55.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,22.22,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,22.22,0,0,44.44,-22.22
4,4,As it happened: Pakistan families bury children,4,BBCNews,http://www.bbc.co.uk/news/live/world-asia-30511784,17/12/2014,headlineaad.txt,1,7,7,57.14,85.71,0,28.57,14.29,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,14.29,14.29,0,0,0,0,28.57,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,28.57,0
5,5,Al-Sweady Inquiry: UK army murder claims 'deliberate lies',5,BBCNews,http://www.bbc.co.uk/news/uk-30515369,17/12/2014,headlineaae.txt,1,9,9,33.33,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,22.22,0,22.22,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,11.11,0,0,0,22.22,0,22.22,0,0,55.56,-22.22
6,6,Preston student sleeps rough to repay homeless man Robbie's kindness,6,BBCNews,http://www.bbc.co.uk/news/uk-england-lancashire-30511262,17/12/2014,headlineaaf.txt,1,10,10,50,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,20,10
7,7,Alan Gross: US worker released from Cuba prison,7,BBCNews,http://www.bbc.co.uk/news/world-us-canada-30519787,17/12/2014,headlineaag.txt,1,8,8,12.5,50,0,25,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,25,-12.5
8,8,Rules for babies 'from three people',8,BBCNews,http://www.bbc.co.uk/news/health-30513700,17/12/2014,headlineaah.txt,1,6,6,0,83.33,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,16.67,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,33.33,0,0,50,0
9,9,New York premiere of Sony film The Interview cancelled,9,BBCNews,http://www.bbc.co.uk/news/entertainment-arts-30507306,17/12/2014,headlineaai.txt,1,9,9,33.33,55.56,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0
10,10,Russia plans new measures to stabilise the rouble,10,BBCNews,http://www.bbc.co.uk/news/business-30512079,17/12/2014,headlineaaj.txt,1,8,8,25,50,0,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0
